Macro:  (0.50274426916361414, 0.41480187625497678, 0.44084457915797792, None)
Micro:  (0.63532171943260884, 0.63532171943260884, 0.63532171943260884, None)
Weighted:  (0.63438226341834214, 0.63532171943260884, 0.63221458769545191, None)
                                           precision    recall  f1-score   support

                           __label__Actor       0.38      0.40      0.39      1321
            __label__AdministrativeRegion       0.94      0.85      0.89       202
                           __label__Agent       0.00      0.00      0.00         5
                        __label__Aircraft       0.66      0.57      0.61        88
                         __label__Airline       0.78      0.68      0.73        98
                         __label__Airport       0.87      0.76      0.81       216
                           __label__Album       0.58      0.49      0.53       616
         __label__AmusementParkAttraction       0.23      0.11      0.15        71
             __label__AnatomicalStructure       0.52      0.33      0.41        81
                        __label__Arachnid       0.61      0.72      0.66       464
                       __label__Architect       0.39      0.47      0.43        68
          __label__ArchitecturalStructure       0.34      0.24      0.28       130
                           __label__Arena       0.66      0.59      0.62       202
                  __label__Arrondissement       0.92      0.73      0.81        15
                          __label__Artist       0.29      0.29      0.29       425
                         __label__Athlete       0.40      0.32      0.35      1441
                          __label__Attack       0.64      0.76      0.70        50
                      __label__Automobile       0.68      0.59      0.63       359
                           __label__Award       0.50      0.60      0.55         5
                 __label__BadmintonPlayer       0.50      0.09      0.15        11
                            __label__Band       0.20      0.26      0.23       351
                __label__BasketballPlayer       0.08      0.03      0.04        33
                  __label__BasketballTeam       0.45      0.26      0.33        35
                            __label__Beer       0.49      0.25      0.33        73
                       __label__Biologist       0.52      0.22      0.31        49
                            __label__Bird       0.79      0.75      0.77       668
                     __label__BloodVessel       0.42      0.38      0.40        21
                            __label__Bone       0.44      0.25      0.32        16
                            __label__Book       0.45      0.41      0.43       224
                           __label__Brain       0.50      0.38      0.43        37
                         __label__Brewery       0.76      0.59      0.67        49
                          __label__Bridge       0.76      0.73      0.74       124
                __label__BroadcastNetwork       0.55      0.55      0.55        44
                        __label__Building       0.43      0.40      0.42       469
                           __label__Canal       0.76      0.58      0.66        53
                        __label__Cardinal       0.59      0.47      0.52       114
                          __label__Castle       0.73      0.65      0.69       223
                             __label__Cat       0.00      0.00      0.00         6
                   __label__CelestialBody       0.81      0.74      0.77       155
                        __label__Cemetery       0.62      0.69      0.65        26
                          __label__Cheese       0.44      0.20      0.28        20
                __label__ChemicalCompound       0.81      0.80      0.81       632
                 __label__ChemicalElement       0.88      0.86      0.87       304
                 __label__ChristianBishop       0.38      0.19      0.25        70
                          __label__Church       0.78      0.73      0.75       600
                            __label__City       0.09      0.14      0.11        21
                    __label__CityDistrict       0.43      0.48      0.46       360
                          __label__Colour       0.48      0.50      0.49        20
                        __label__Comedian       0.08      0.12      0.10         8
                           __label__Comic       0.33      0.25      0.29        40
                      __label__ComicStrip       0.49      0.40      0.44       121
                         __label__Company       0.46      0.51      0.49       714
               __label__ConcentrationCamp       0.61      0.54      0.57        26
                         __label__Country       0.65      0.73      0.69      1226
                        __label__Criminal       0.00      0.00      0.00         8
                        __label__Currency       0.61      0.53      0.56        70
                   __label__CyclingLeague       0.00      0.00      0.00         6
                     __label__CyclingRace       0.75      0.74      0.74       158
                     __label__CyclingTeam       0.67      0.42      0.52        85
                         __label__Cyclist       0.20      0.14      0.17       480
                             __label__Dam       0.82      0.38      0.51        24
                           __label__Deity       0.25      0.08      0.12        24
                      __label__Department       0.58      0.62      0.60        24
                          __label__Device       0.93      0.57      0.70        23
                         __label__Diocese       0.80      0.49      0.61        71
                         __label__Disease       0.70      0.69      0.70       464
                        __label__District       0.49      0.54      0.51        82
              __label__DistrictWaterBoard       0.74      0.63      0.68       172
                             __label__Dog       0.67      0.38      0.49        47
                            __label__Drug       0.60      0.55      0.57       109
                        __label__Election       0.87      0.86      0.86       189
           __label__EmployersOrganisation       0.00      0.00      0.00         4
                          __label__Enzyme       1.00      0.12      0.22         8
                     __label__EthnicGroup       0.60      0.45      0.51       124
                           __label__Event       0.53      0.36      0.43       108
                          __label__Family       0.75      0.74      0.74      1700
              __label__FictionalCharacter       0.20      0.24      0.22       201
                            __label__Film       0.52      0.53      0.52      1300
                    __label__FilmFestival       0.83      0.62      0.71         8
                            __label__Fish       0.51      0.35      0.42       193
              __label__FormerMunicipality       0.57      0.33      0.42        12
                          __label__Fungus       0.50      0.29      0.37        17
                            __label__Game       0.00      0.00      0.00         5
                  __label__GatedCommunity       0.75      0.35      0.48        17
                       __label__GivenName       0.00      0.00      0.00         5
                      __label__GolfCourse       0.83      0.61      0.70        79
                      __label__GolfPlayer       0.04      0.03      0.04        95
                  __label__GolfTournament       0.84      0.83      0.84       133
                __label__GovernmentAgency       0.67      0.67      0.67        39
               __label__GovernmentCabinet       0.48      0.52      0.50        21
__label__GovernmentalAdministrativeRegion       1.00      0.17      0.29         6
                           __label__Group       0.00      0.00      0.00        10
                      __label__HockeyClub       0.59      0.53      0.56        57
                      __label__HockeyTeam       0.62      0.57      0.59        14
                         __label__Holiday       0.57      0.57      0.57        21
                           __label__Horse       0.65      0.46      0.54        24
                        __label__Hospital       0.61      0.59      0.60        29
                           __label__Hotel       0.50      0.43      0.46        14
                          __label__Insect       0.77      0.74      0.75      3953
                      __label__Instrument       0.66      0.66      0.66       133
__label__InternationalFootballLeagueEvent       0.81      0.88      0.84       179
       __label__InternationalOrganisation       0.38      0.38      0.38        29
                          __label__Island       0.39      0.35      0.37       290
                      __label__Journalist       0.00      0.00      0.00        46
                           __label__Judge       0.17      0.05      0.08        19
                            __label__Lake       0.70      0.65      0.67       142
                        __label__Language       0.53      0.54      0.54       176
                             __label__Law       0.64      0.67      0.65        24
                       __label__LegalCase       0.67      0.38      0.48        21
                         __label__Library       0.74      0.61      0.67        41
                      __label__Lighthouse       0.71      0.38      0.50        26
                            __label__List       0.87      0.86      0.86        78
                            __label__Lock       0.60      0.33      0.43        18
                      __label__Locomotive       0.51      0.42      0.46        78
                          __label__Mammal       0.67      0.62      0.64       680
                           __label__Mayor       0.67      0.40      0.50        10
                        __label__Medician       0.00      0.00      0.00         2
        __label__MemberResistanceMovement       0.17      0.12      0.14        60
                    __label__MetroStation       0.50      0.35      0.41       150
                     __label__MicroRegion       0.00      0.00      0.00         5
                __label__MilitaryAircraft       0.50      0.50      0.50       119
                __label__MilitaryConflict       0.80      0.79      0.79       872
                  __label__MilitaryPerson       0.40      0.36      0.38       300
               __label__MilitaryStructure       0.59      0.59      0.59        17
                    __label__MilitaryUnit       0.45      0.46      0.46        67
                 __label__MilitaryVehicle       0.57      0.42      0.49        83
                            __label__Mill       1.00      0.17      0.29         6
                         __label__Mineral       0.62      0.65      0.64        78
                         __label__Monarch       0.48      0.47      0.47       183
                       __label__Monastery       0.45      0.46      0.45        46
                        __label__Monument       0.86      0.63      0.73        38
                          __label__Mosque       0.67      0.50      0.57         4
                       __label__MotorRace       0.81      0.75      0.78        40
                        __label__Mountain       0.58      0.44      0.50       298
                    __label__MountainPass       0.73      0.61      0.67        36
                   __label__MountainRange       0.55      0.51      0.53        90
          __label__MultiVolumePublication       0.60      0.43      0.50         7
                    __label__Municipality       0.83      0.86      0.84     11669
                          __label__Muscle       0.74      0.61      0.67        33
                          __label__Museum       0.64      0.57      0.60       164
                   __label__MusicFestival       0.69      0.61      0.64        61
                      __label__MusicGenre       0.81      0.80      0.80       133
                         __label__Musical       0.57      0.57      0.57        14
                   __label__MusicalArtist       0.24      0.34      0.28      1461
                     __label__MusicalWork       0.58      0.33      0.42       153
                            __label__Name       0.42      0.43      0.43       459
     __label__NationalFootballLeagueEvent       0.72      0.78      0.74       107
                           __label__Nerve       0.67      0.67      0.67        15
                       __label__Newspaper       0.52      0.63      0.57        46
                     __label__NobleFamily       0.43      0.40      0.41        48
                    __label__OfficeHolder       0.30      0.35      0.32       280
                   __label__OlympicResult       0.59      0.61      0.60        28
                        __label__Olympics       0.87      0.83      0.85       195
                           __label__Opera       0.00      0.00      0.00         6
                    __label__Organisation       0.32      0.43      0.37       114
                        __label__Painting       0.28      0.25      0.26        88
                          __label__Parish       0.67      0.39      0.49        46
                            __label__Park       0.38      0.36      0.37        36
            __label__PeriodicalLiterature       0.51      0.41      0.45        98
                          __label__Person       0.28      0.31      0.30      1624
                     __label__Philosopher       0.64      0.33      0.43        43
                            __label__Play       0.00      0.00      0.00         5
                     __label__PokerPlayer       0.22      0.14      0.17        29
                  __label__PoliticalParty       0.65      0.66      0.65       217
                      __label__Politician       0.38      0.38      0.38      1059
